rag_place_id,place_name,original_image_url,source_page_url,source,credit,license_note,image_order,is_primary,local_original_path,local_optimized_path,public_url,download_status,http_status,content_type,original_width,original_height,optimized_width,optimized_height,file_size_bytes,fail_reason,downloaded_at
ha-noi__ho-hoan-kiem,Hồ Hoàn Kiếm,https://mia.vn/media/uploads/blog-du-lich/ho-hoan-kiem-1-1710638969.jpg,https://mia.vn/media/uploads/blog-du-lich/ho-hoan-kiem-1-1710638969.jpg,MIA.vn,,Cần kiểm tra quyền sử dụng,1,1,,data/image_pipeline/downloaded/optimized/ha-noi_ho-hoan-kiem/ha-noi_ho-hoan-kiem_01.webp,/images/destinations/ha-noi_ho-hoan-kiem/ha-noi_ho-hoan-kiem_01.webp,exists,,,,,800,600,87858,,2026-05-07T14:05:03+00:00
ha-noi__ho-hoan-kiem,Hồ Hoàn Kiếm,https://mia.vn/media/uploads/blog-du-lich/ho-hoan-kiem-3-1710638969.jpg,https://mia.vn/media/uploads/blog-du-lich/ho-hoan-kiem-3-1710638969.jpg,MIA.vn,,Cần kiểm tra quyền sử dụng,2,0,,data/image_pipeline/downloaded/optimized/ha-noi_ho-hoan-kiem/ha-noi_ho-hoan-kiem_02.webp,/images/destinations/ha-noi_ho-hoan-kiem/ha-noi_ho-hoan-kiem_02.webp,exists,,,,,800,600,81916,,2026-05-07T14:05:03+00:00
ha-noi__ho-hoan-kiem,Hồ Hoàn Kiếm,https://mia.vn/media/uploads/blog-du-lich/ho-hoan-kiem-6-1710638969.jpg,https://mia.vn/media/uploads/blog-du-lich/ho-hoan-kiem-6-1710638969.jpg,MIA.vn,,Cần kiểm tra quyền sử dụng,3,0,,data/image_pipeline/downloaded/optimized/ha-noi_ho-hoan-kiem/ha-noi_ho-hoan-kiem_03.webp,/images/destinations/ha-noi_ho-hoan-kiem/ha-noi_ho-hoan-kiem_03.webp,exists,,,,,800,600,120098,,2026-05-07T14:05:03+00:00
ha-noi__ho-hoan-kiem,Hồ Hoàn Kiếm,https://mia.vn/media/uploads/blog-du-lich/dao-buoc-quanh-ho-hoan-kiem-kham-pha-vien-ngoc-sang-cua-thu-do-04-1639495939.png,https://mia.vn/media/uploads/blog-du-lich/dao-buoc-quanh-ho-hoan-kiem-kham-pha-vien-ngoc-sang-cua-thu-do-04-1639495939.png,MIA.vn,,Cần kiểm tra quyền sử dụng,4,0,,data/image_pipeline/downloaded/optimized/ha-noi_ho-hoan-kiem/ha-noi_ho-hoan-kiem_04.webp,/images/destinations/ha-noi_ho-hoan-kiem/ha-noi_ho-hoan-kiem_04.webp,exists,,,,,800,600,75268,,2026-05-07T14:05:03+00:00
ha-noi__van-mieu-quoc-tu-giam,Văn Miếu - Quốc Tử Giám,https://mia.vn/media/uploads/blog-du-lich/van-mieu-quoc-tu-giam-16-1734507715.jpg,https://mia.vn/media/uploads/blog-du-lich/van-mieu-quoc-tu-giam-16-1734507715.jpg,MIA.vn,,Cần kiểm tra quyền sử dụng,1,1,,data/image_pipeline/downloaded/optimized/ha-noi_van-mieu-quoc-tu-giam/ha-noi_van-mieu-quoc-tu-giam_01.webp,/images/destinations/ha-noi_van-mieu-quoc-tu-giam/ha-noi_van-mieu-quoc-tu-giam_01.webp,exists,,,,,800,533,151714,,2026-05-07T14:05:03+00:00
ha-noi__van-mieu-quoc-tu-giam,Văn Miếu - Quốc Tử Giám,https://mia.vn/media/uploads/blog-du-lich/chiem-nguong-di-san-van-mieu-quoc-tu-giam-hon-thieng-dan-toc-02-1639790385.png,https://mia.vn/media/uploads/blog-du-lich/chiem-nguong-di-san-van-mieu-quoc-tu-giam-hon-thieng-dan-toc-02-1639790385.png,MIA.vn,,Cần kiểm tra quyền sử dụng,2,0,,data/image_pipeline/downloaded/optimized/ha-noi_van-mieu-quoc-tu-giam/ha-noi_van-mieu-quoc-tu-giam_02.webp,/images/destinations/ha-noi_van-mieu-quoc-tu-giam/ha-noi_van-mieu-quoc-tu-giam_02.webp,exists,,,,,1000,668,123408,,2026-05-07T14:05:03+00:00
ha-noi__van-mieu-quoc-tu-giam,Văn Miếu - Quốc Tử Giám,https://mia.vn/media/uploads/blog-du-lich/van-mieu-quoc-tu-giam-21-1734510695.jpg,https://mia.vn/media/uploads/blog-du-lich/van-mieu-quoc-tu-giam-21-1734510695.jpg,MIA.vn,,Cần kiểm tra quyền sử dụng,3,0,,data/image_pipeline/downloaded/optimized/ha-noi_van-mieu-quoc-tu-giam/ha-noi_van-mieu-quoc-tu-giam_03.webp,/images/destinations/ha-noi_van-mieu-quoc-tu-giam/ha-noi_van-mieu-quoc-tu-giam_03.webp,exists,,,,,800,534,72004,,2026-05-07T14:05:03+00:00
ha-noi__van-mieu-quoc-tu-giam,Văn Miếu - Quốc Tử Giám,https://commons.wikimedia.org/wiki/Special:FilePath/Temple%20of%20Literature%2C%20Hanoi.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Temple%20of%20Literature%2C%20Hanoi.jpg,Wikimedia Commons,,Cần kiểm tra quyền sử dụng,4,0,,data/image_pipeline/downloaded/optimized/ha-noi_van-mieu-quoc-tu-giam/ha-noi_van-mieu-quoc-tu-giam_04.webp,/images/destinations/ha-noi_van-mieu-quoc-tu-giam/ha-noi_van-mieu-quoc-tu-giam_04.webp,exists,,,,,640,480,87194,,2026-05-07T14:05:03+00:00
ha-noi__hoang-thanh-thang-long,Hoàng thành Thăng Long,https://mia.vn/media/uploads/blog-du-lich/hoang-thanh-thang-long-dau-an-thoi-dai-giua-long-ha-noi-cover-1639789626.jpg,https://mia.vn/media/uploads/blog-du-lich/hoang-thanh-thang-long-dau-an-thoi-dai-giua-long-ha-noi-cover-1639789626.jpg,MIA.vn,,Cần kiểm tra quyền sử dụng,1,1,,data/image_pipeline/downloaded/optimized/ha-noi_hoang-thanh-thang-long/ha-noi_hoang-thanh-thang-long_01.webp,/images/destinations/ha-noi_hoang-thanh-thang-long/ha-noi_hoang-thanh-thang-long_01.webp,exists,,,,,1200,900,154532,,2026-05-07T14:05:03+00:00
ha-noi__hoang-thanh-thang-long,Hoàng thành Thăng Long,https://mia.vn/media/uploads/blog-du-lich/hoang-thanh-thang-long-dau-an-thoi-dai-giua-long-ha-noi-06-1639789626.jpg,https://mia.vn/media/uploads/blog-du-lich/hoang-thanh-thang-long-dau-an-thoi-dai-giua-long-ha-noi-06-1639789626.jpg,MIA.vn,,Cần kiểm tra quyền sử dụng,2,0,,data/image_pipeline/downloaded/optimized/ha-noi_hoang-thanh-thang-long/ha-noi_hoang-thanh-thang-long_02.webp,/images/destinations/ha-noi_hoang-thanh-thang-long/ha-noi_hoang-thanh-thang-long_02.webp,exists,,,,,1200,799,139530,,2026-05-07T14:05:03+00:00
