tier,id,name,address,province,local_image_count,status,image_files
2,TN_0085,Đồi chè Tân Cương view point,"Tân Cương, TP Thái Nguyên",Thái Nguyên,3,has_3_plus,data/image_pipeline/downloaded/optimized/TN_0085/TN_0085_01.webp|data/image_pipeline/downloaded/optimized/TN_0085/TN_0085_02.webp|data/image_pipeline/downloaded/optimized/TN_0085/TN_0085_03.webp
2,TN_0084,Thác Khuôn Tát 7 tầng,"Phú Đình, Định Hóa, Thái Nguyên",Thái Nguyên,3,has_3_plus,data/image_pipeline/downloaded/optimized/TN_0084/TN_0084_01.webp|data/image_pipeline/downloaded/optimized/TN_0084/TN_0084_02.webp|data/image_pipeline/downloaded/optimized/TN_0084/TN_0084_03.webp
2,LS_0001,Động Tam Thanh,"Phường Tam Thanh, TP Lạng Sơn",Lạng Sơn,2,has_2,data/image_pipeline/downloaded/optimized/LS_0001/LS_0001_01.webp|data/image_pipeline/downloaded/optimized/LS_0001/LS_0001_02.webp
2,LS_0003,Động Nhị Thanh,"Phường Tam Thanh, TP Lạng Sơn",Lạng Sơn,3,has_3_plus,data/image_pipeline/downloaded/optimized/LS_0003/LS_0003_01.webp|data/image_pipeline/downloaded/optimized/LS_0003/LS_0003_02.webp|data/image_pipeline/downloaded/optimized/LS_0003/LS_0003_03.webp
2,LS_0005,Núi Tô Thị,"TP Lạng Sơn, Lạng Sơn",Lạng Sơn,3,has_3_plus,data/image_pipeline/downloaded/optimized/LS_0005/LS_0005_01.webp|data/image_pipeline/downloaded/optimized/LS_0005/LS_0005_02.webp|data/image_pipeline/downloaded/optimized/LS_0005/LS_0005_03.webp
2,LS_0030,Ải Chi Lăng,"Chi Lăng, Lạng Sơn",Lạng Sơn,4,has_3_plus,data/image_pipeline/downloaded/optimized/LS_0030/LS_0030_01.webp|data/image_pipeline/downloaded/optimized/LS_0030/LS_0030_02.webp|data/image_pipeline/downloaded/optimized/LS_0030/LS_0030_03.webp|data/image_pipeline/downloaded/optimized/LS_0030/LS_0030_04.webp
2,LS_0007,Chợ Đông Kinh,"TP Lạng Sơn, Lạng Sơn",Lạng Sơn,4,has_3_plus,data/image_pipeline/downloaded/optimized/LS_0007/LS_0007_01.webp|data/image_pipeline/downloaded/optimized/LS_0007/LS_0007_02.webp|data/image_pipeline/downloaded/optimized/LS_0007/LS_0007_03.webp|data/image_pipeline/downloaded/optimized/LS_0007/LS_0007_04.webp
2,LS_0017,Đỉnh Mẫu Sơn,"Mẫu Sơn, Lộc Bình, Lạng Sơn",Lạng Sơn,5,has_3_plus,data/image_pipeline/downloaded/optimized/LS_0017/LS_0017_01.webp|data/image_pipeline/downloaded/optimized/LS_0017/LS_0017_02.webp|data/image_pipeline/downloaded/optimized/LS_0017/LS_0017_03.webp|data/image_pipeline/downloaded/optimized/LS_0017/LS_0017_04.webp|data/image_pipeline/downloaded/optimized/LS_0017/LS_0017_05.webp
2,LS_0006,Thành nhà Mạc Lạng Sơn,"TP Lạng Sơn, Lạng Sơn",Lạng Sơn,2,has_2,data/image_pipeline/downloaded/optimized/LS_0006/LS_0006_01.webp|data/image_pipeline/downloaded/optimized/LS_0006/LS_0006_02.webp
2,LS_0009,Đền Kỳ Cùng,"TP Lạng Sơn, Lạng Sơn",Lạng Sơn,3,has_3_plus,data/image_pipeline/downloaded/optimized/LS_0009/LS_0009_01.webp|data/image_pipeline/downloaded/optimized/LS_0009/LS_0009_02.webp|data/image_pipeline/downloaded/optimized/LS_0009/LS_0009_03.webp
2,LS_0011,Đền Mẫu Đồng Đăng,"Đồng Đăng, Cao Lộc, Lạng Sơn",Lạng Sơn,3,has_3_plus,data/image_pipeline/downloaded/optimized/LS_0011/LS_0011_01.webp|data/image_pipeline/downloaded/optimized/LS_0011/LS_0011_02.webp|data/image_pipeline/downloaded/optimized/LS_0011/LS_0011_03.webp
2,DB_0012,Hồ Pá Khoang,"Pá Khoang, Điện Biên",Điện Biên,2,has_2,data/image_pipeline/downloaded/optimized/DB_0012/DB_0012_01.webp|data/image_pipeline/downloaded/optimized/DB_0012/DB_0012_02.webp
2,DB_0001,Đồi A1,"Điện Biên Phủ, Điện Biên",Điện Biên,4,has_3_plus,data/image_pipeline/downloaded/optimized/DB_0001/DB_0001_01.webp|data/image_pipeline/downloaded/optimized/DB_0001/DB_0001_02.webp|data/image_pipeline/downloaded/optimized/DB_0001/DB_0001_03.webp|data/image_pipeline/downloaded/optimized/DB_0001/DB_0001_04.webp
2,DB_0002,Hầm De Castries,"Điện Biên Phủ, Điện Biên",Điện Biên,3,has_3_plus,data/image_pipeline/downloaded/optimized/DB_0002/DB_0002_01.webp|data/image_pipeline/downloaded/optimized/DB_0002/DB_0002_02.webp|data/image_pipeline/downloaded/optimized/DB_0002/DB_0002_03.webp
2,DB_0003,Bảo tàng Chiến thắng lịch sử Điện Biên Phủ,"Điện Biên Phủ, Điện Biên",Điện Biên,2,has_2,data/image_pipeline/downloaded/optimized/DB_0003/DB_0003_01.webp|data/image_pipeline/downloaded/optimized/DB_0003/DB_0003_02.webp
2,DB_0008,Cánh đồng Mường Thanh,"Mường Thanh, Điện Biên",Điện Biên,4,has_3_plus,data/image_pipeline/downloaded/optimized/DB_0008/DB_0008_01.webp|data/image_pipeline/downloaded/optimized/DB_0008/DB_0008_02.webp|data/image_pipeline/downloaded/optimized/DB_0008/DB_0008_03.webp|data/image_pipeline/downloaded/optimized/DB_0008/DB_0008_04.webp
