place_id,name,province,category_main,category_sub,app_category
AG_0047,Búng Bình Thiên,An Giang,Văn hóa cộng đồng,Chợ nổi/làng nghề/miệt vườn,culture
AG_0043,Chùa Linh Sơn Ba Thê,An Giang,Tâm linh,Chùa/thiền viện,religious
AG_0022,Chùa Phật Lớn Núi Cấm,An Giang,Tâm linh,Chùa/thiền viện,religious
AG_0003,Chùa Tây An,An Giang,Tâm linh,Chùa/thiền viện,religious
AG_0020,Cáp treo Núi Cấm,An Giang,Thiên nhiên,Sông nước/rừng tràm/núi đồng bằng,nature
AG_0008,Cáp treo Núi Sam,An Giang,Thiên nhiên,Sông nước/rừng tràm/núi đồng bằng,nature
AG_0017,Cầu tre vạn bước Trà Sư,An Giang,Di tích,Điểm tham quan văn hóa,heritage
AG_0041,Di tích Óc Eo,An Giang,Văn hóa,Di tích lịch sử/bảo tàng,culture
AG_0048,Hồ nước trời Búng Bình Thiên,An Giang,Văn hóa cộng đồng,Chợ nổi/làng nghề/miệt vườn,culture
AG_0042,Khu di tích văn hóa Óc Eo - Ba Thê,An Giang,Văn hóa,Di tích lịch sử/bảo tàng,culture
AG_0019,Khu du lịch Lâm Viên Núi Cấm,An Giang,Thiên nhiên,Sông nước/rừng tràm/núi đồng bằng,nature
AG_0016,Khu du lịch rừng tràm Trà Sư,An Giang,Thiên nhiên,Sông nước/rừng tràm/núi đồng bằng,nature
AG_0031,Khu du lịch đồi Tức Dụp,An Giang,Văn hóa,Di tích lịch sử/bảo tàng,culture
AG_0004,Lăng Thoại Ngọc Hầu,An Giang,Tâm linh,Đền/miếu/đình/lăng,religious
AG_0001,Miếu Bà Chúa Xứ Núi Sam,An Giang,Tâm linh,Đền/miếu/đình/lăng,religious
AG_0040,Núi Ba Thê,An Giang,Văn hóa,Di tích lịch sử/bảo tàng,culture
AG_0018,Núi Cấm,An Giang,Thiên nhiên,Sông nước/rừng tràm/núi đồng bằng,nature
AG_0002,Núi Sam,An Giang,Thiên nhiên,Sông nước/rừng tràm/núi đồng bằng,nature
AG_0015,Rừng tràm Trà Sư,An Giang,Thiên nhiên,Sông nước/rừng tràm/núi đồng bằng,nature
AG_0024,Tượng Phật Di Lặc Núi Cấm,An Giang,Thiên nhiên,Sông nước/rừng tràm/núi đồng bằng,nature
AG_0006,Tượng Phật nằm núi Sam,An Giang,Thiên nhiên,Sông nước/rừng tràm/núi đồng bằng,nature
AG_0046,Đình Thoại Ngọc Hầu Thoại Sơn,An Giang,Tâm linh,Đền/miếu/đình/lăng,religious
AG_0007,Đỉnh núi Sam,An Giang,Thiên nhiên,Sông nước/rừng tràm/núi đồng bằng,nature
AG_0030,Đồi Tức Dụp,An Giang,Văn hóa,Di tích lịch sử/bảo tàng,culture
AG_0056,Bảo tàng An Giang,An Giang,Văn hóa,Di tích lịch sử/bảo tàng,culture
AG_0077,Chùa Giồng Thành,An Giang,Tâm linh,Chùa/thiền viện,religious
AG_0005,Chùa Hang Châu Đốc,An Giang,Tâm linh,Chùa/thiền viện,religious
AG_0085,Chùa Huỳnh Đạo,An Giang,Tâm linh,Chùa/thiền viện,religious
AG_0073,Chùa Thành Hoa Tự,An Giang,Tâm linh,Chùa/thiền viện,religious
AG_0034,Chùa Tà Pạ,An Giang,Tâm linh,Chùa/thiền viện,religious
AG_0021,Chùa Vạn Linh,An Giang,Tâm linh,Chùa/thiền viện,religious
AG_0038,Chùa Xvayton,An Giang,Tâm linh,Chùa/thiền viện,religious
AG_0060,Chùa Ông Bắc Long Xuyên,An Giang,Tâm linh,Chùa/thiền viện,religious
AG_0009,Chợ Châu Đốc,An Giang,Văn hóa cộng đồng,Chợ nổi/làng nghề/miệt vườn,culture
AG_0052,Chợ Long Xuyên,An Giang,Văn hóa cộng đồng,Chợ nổi/làng nghề/miệt vườn,culture
AG_0082,Chợ Mới An Giang,An Giang,Văn hóa cộng đồng,Chợ nổi/làng nghề/miệt vườn,culture
AG_0059,Chợ Mỹ Bình,An Giang,Văn hóa cộng đồng,Chợ nổi/làng nghề/miệt vườn,culture
AG_0087,Chợ Nhà Bàng,An Giang,Văn hóa cộng đồng,Chợ nổi/làng nghề/miệt vườn,culture
AG_0069,Chợ Tân Châu,An Giang,Văn hóa cộng đồng,Chợ nổi/làng nghề/miệt vườn,culture
AG_0025,Chợ Tịnh Biên,An Giang,Văn hóa cộng đồng,Chợ nổi/làng nghề/miệt vườn,culture
AG_0065,Chợ mắm Châu Đốc,An Giang,Văn hóa cộng đồng,Chợ nổi/làng nghề/miệt vườn,culture
