seed_name,province,aliases,note
Vịnh Hạ Long,Quảng Ninh,"Ha Long Bay|Vinh Ha Long","di sản thiên nhiên thế giới"
Yên Tử,Quảng Ninh,"Núi Yên Tử|Chùa Yên Tử","điểm tâm linh nổi tiếng"
Đảo Cô Tô,Quảng Ninh,"Cô Tô|Co To Island","đảo du lịch nổi tiếng"
Cát Bà,Hải Phòng,"Đảo Cát Bà|Cat Ba","đảo du lịch nổi tiếng"
Vịnh Lan Hạ,Hải Phòng,"Lan Ha Bay|Vinh Lan Ha","vịnh du lịch nổi tiếng"
Hồ Hoàn Kiếm,Hà Nội,"Hoàn Kiếm|Hồ Gươm","biểu tượng Hà Nội"
Văn Miếu Quốc Tử Giám,Hà Nội,"Văn Miếu|Quốc Tử Giám","di tích nổi tiếng Hà Nội"
Hoàng thành Thăng Long,Hà Nội,"Imperial Citadel of Thang Long","di sản văn hóa thế giới"
Lăng Chủ tịch Hồ Chí Minh,Hà Nội,"Lăng Bác|Ho Chi Minh Mausoleum","địa điểm biểu tượng"
Phố cổ Hà Nội,Hà Nội,"Old Quarter Hanoi|Hà Nội 36 phố phường","khu phố cổ nổi tiếng"
Chùa Trấn Quốc,Hà Nội,"Tran Quoc Pagoda","chùa nổi tiếng Hà Nội"
Tam Đảo,Vĩnh Phúc,"Thị trấn Tam Đảo|Tam Dao","điểm nghỉ dưỡng miền núi"
Sa Pa,Lào Cai,"Sapa|Thị xã Sa Pa","điểm du lịch miền núi nổi tiếng"
Fansipan,Lào Cai,"Đỉnh Fansipan|Phan Xi Păng","nóc nhà Đông Dương"
Bắc Hà,Lào Cai,"Chợ Bắc Hà|Bac Ha","điểm du lịch văn hóa vùng cao"
Hà Giang,Hà Giang,"Ha Giang","điểm du lịch vùng cao nổi tiếng"
Đèo Mã Pí Lèng,Hà Giang,"Mã Pí Lèng|Ma Pi Leng","cung đèo nổi tiếng"
Sông Nho Quế,Hà Giang,"Nho Quế|Nho Que River","danh thắng nổi tiếng Hà Giang"
Cột cờ Lũng Cú,Hà Giang,"Lũng Cú|Lung Cu Flag Tower","địa điểm cực Bắc"
Cao nguyên đá Đồng Văn,Hà Giang,"Đồng Văn Karst Plateau|Dong Van","công viên địa chất"
Thác Bản Giốc,Cao Bằng,"Ban Gioc Waterfall|Thác Bản Giốc Cao Bằng","thác nước nổi tiếng"
Hồ Ba Bể,Bắc Kạn,"Ba Bể Lake|Ba Be","hồ tự nhiên nổi tiếng"
Mộc Châu,Sơn La,"Moc Chau","cao nguyên du lịch nổi tiếng"
Tà Xùa,Sơn La,"Ta Xua|Sống lưng khủng long Tà Xùa","điểm săn mây nổi tiếng"
Mai Châu,Hòa Bình,"Mai Chau","du lịch cộng đồng nổi tiếng"
Pù Luông,Thanh Hóa,"Pu Luong|Khu bảo tồn Pù Luông","điểm du lịch sinh thái"
