rag_place_id,name,province,city,area,address,category,category_main,category_sub,short_description,rating,quality_score,recommended_use,requires_realtime_check,current_images_json,source_url,source,destination_group,official_search_query,image_search_query,wikimedia_search_query,source_page_search_query,notes_for_human_check
AG_0017,Cầu tre vạn bước Trà Sư,An Giang,An Giang,Tịnh Biên,"Trà Sư, Tịnh Biên, An Giang",culture,Di tích,Điểm tham quan văn hóa,Điểm điểm tham quan văn hóa tiêu biểu tại Tịnh Biên.,4.5,9.0,main,1,[],https://vietnamtourism.gov.vn/post/34837,Cục Du lịch Quốc gia Việt Nam; Cổng thông tin du lịch An Giang; tổng hợp nguồn công khai,An Giang - Châu Đốc/Núi Sam/Thất Sơn,Cầu tre vạn bước Trà Sư Tịnh Biên An Giang ảnh chính thức du lịch,Cầu tre vạn bước Trà Sư Tịnh Biên An Giang Điểm tham quan văn hóa ảnh địa điểm du lịch,Cầu tre vạn bước Trà Sư Tịnh Biên An Giang Wikimedia Commons,Cầu tre vạn bước Trà Sư Tịnh Biên An Giang site:vietnam.travel OR site:vietnamtourism.gov.vn OR site:*.gov.vn,"Chỉ dùng image_url trực tiếp .jpg/.png/.webp; không dùng trang HTML, ảnh random, placeholder; phải ghi nguồn/credit."
AG_0051,Cửa khẩu Khánh Bình,An Giang,An Giang,An Phú,"An Phú, An Giang",culture,Di tích,Điểm tham quan văn hóa,Điểm điểm tham quan văn hóa tiêu biểu tại An Phú.,3.6,7.2,optional,1,[],https://vietnamtourism.gov.vn/post/34837,Cục Du lịch Quốc gia Việt Nam; Cổng thông tin du lịch An Giang; tổng hợp nguồn công khai,An Giang - biên giới/sông nước Châu Đốc,Cửa khẩu Khánh Bình An Phú An Giang ảnh chính thức du lịch,Cửa khẩu Khánh Bình An Phú An Giang Điểm tham quan văn hóa ảnh địa điểm du lịch,Cửa khẩu Khánh Bình An Phú An Giang Wikimedia Commons,Cửa khẩu Khánh Bình An Phú An Giang site:vietnam.travel OR site:vietnamtourism.gov.vn OR site:*.gov.vn,"Chỉ dùng image_url trực tiếp .jpg/.png/.webp; không dùng trang HTML, ảnh random, placeholder; phải ghi nguồn/credit."
AG_0074,Dinh Chưởng Binh Lễ,An Giang,An Giang,Chợ Mới,"Chợ Mới, An Giang",culture,Di tích,Điểm tham quan văn hóa,Điểm điểm tham quan văn hóa tiêu biểu tại Chợ Mới.,3.6,7.2,optional,1,[],https://vietnamtourism.gov.vn/post/34837,Cục Du lịch Quốc gia Việt Nam; Cổng thông tin du lịch An Giang; tổng hợp nguồn công khai,An Giang - Long Xuyên/Óc Eo/cù lao,Dinh Chưởng Binh Lễ Chợ Mới An Giang ảnh chính thức du lịch,Dinh Chưởng Binh Lễ Chợ Mới An Giang Điểm tham quan văn hóa ảnh địa điểm du lịch,Dinh Chưởng Binh Lễ Chợ Mới An Giang Wikimedia Commons,Dinh Chưởng Binh Lễ Chợ Mới An Giang site:vietnam.travel OR site:vietnamtourism.gov.vn OR site:*.gov.vn,"Chỉ dùng image_url trực tiếp .jpg/.png/.webp; không dùng trang HTML, ảnh random, placeholder; phải ghi nguồn/credit."
AG_0081,Cầu Vàm Cống,An Giang,An Giang,Long Xuyên,"Long Xuyên, An Giang",culture,Di tích,Điểm tham quan văn hóa,Điểm điểm tham quan văn hóa tiêu biểu tại Long Xuyên.,3.6,7.2,optional,1,[],https://vietnamtourism.gov.vn/post/34837,Cục Du lịch Quốc gia Việt Nam; Cổng thông tin du lịch An Giang; tổng hợp nguồn công khai,An Giang - Long Xuyên/Óc Eo/cù lao,Cầu Vàm Cống Long Xuyên An Giang ảnh chính thức du lịch,Cầu Vàm Cống Long Xuyên An Giang Điểm tham quan văn hóa ảnh địa điểm du lịch,Cầu Vàm Cống Long Xuyên An Giang Wikimedia Commons,Cầu Vàm Cống Long Xuyên An Giang site:vietnam.travel OR site:vietnamtourism.gov.vn OR site:*.gov.vn,"Chỉ dùng image_url trực tiếp .jpg/.png/.webp; không dùng trang HTML, ảnh random, placeholder; phải ghi nguồn/credit."
AG_0001,Miếu Bà Chúa Xứ Núi Sam,An Giang,An Giang,Núi Sam,"Núi Sam, Châu Đốc, An Giang",spiritual,Tâm linh,Đền/miếu/đình/lăng,Điểm đền/miếu/đình/lăng tiêu biểu tại Núi Sam.,4.5,9.0,main,1,[],https://vietnamtourism.gov.vn/post/34837,Cục Du lịch Quốc gia Việt Nam; Cổng thông tin du lịch An Giang; tổng hợp nguồn công khai,An Giang - Châu Đốc/Núi Sam/Thất Sơn,Miếu Bà Chúa Xứ Núi Sam Núi Sam An Giang ảnh chính thức du lịch,Miếu Bà Chúa Xứ Núi Sam Núi Sam An Giang Đền/miếu/đình/lăng ảnh địa điểm du lịch,Miếu Bà Chúa Xứ Núi Sam Núi Sam An Giang Wikimedia Commons,Miếu Bà Chúa Xứ Núi Sam Núi Sam An Giang site:vietnam.travel OR site:vietnamtourism.gov.vn OR site:*.gov.vn,"Chỉ dùng image_url trực tiếp .jpg/.png/.webp; không dùng trang HTML, ảnh random, placeholder; phải ghi nguồn/credit."
AG_0003,Chùa Tây An,An Giang,An Giang,Núi Sam,"Núi Sam, Châu Đốc, An Giang",spiritual,Tâm linh,Chùa/thiền viện,Điểm chùa/thiền viện tiêu biểu tại Núi Sam.,4.5,9.0,main,1,[],https://vietnamtourism.gov.vn/post/34837,Cục Du lịch Quốc gia Việt Nam; Cổng thông tin du lịch An Giang; tổng hợp nguồn công khai,An Giang - Châu Đốc/Núi Sam/Thất Sơn,Chùa Tây An Núi Sam An Giang ảnh chính thức du lịch,Chùa Tây An Núi Sam An Giang Chùa/thiền viện ảnh địa điểm du lịch,Chùa Tây An Núi Sam An Giang Wikimedia Commons,Chùa Tây An Núi Sam An Giang site:vietnam.travel OR site:vietnamtourism.gov.vn OR site:*.gov.vn,"Chỉ dùng image_url trực tiếp .jpg/.png/.webp; không dùng trang HTML, ảnh random, placeholder; phải ghi nguồn/credit."
AG_0004,Lăng Thoại Ngọc Hầu,An Giang,An Giang,Núi Sam,"Núi Sam, Châu Đốc, An Giang",spiritual,Tâm linh,Đền/miếu/đình/lăng,Điểm đền/miếu/đình/lăng tiêu biểu tại Núi Sam.,4.5,9.0,main,1,[],https://vietnamtourism.gov.vn/post/34837,Cục Du lịch Quốc gia Việt Nam; Cổng thông tin du lịch An Giang; tổng hợp nguồn công khai,An Giang - Châu Đốc/Núi Sam/Thất Sơn,Lăng Thoại Ngọc Hầu Núi Sam An Giang ảnh chính thức du lịch,Lăng Thoại Ngọc Hầu Núi Sam An Giang Đền/miếu/đình/lăng ảnh địa điểm du lịch,Lăng Thoại Ngọc Hầu Núi Sam An Giang Wikimedia Commons,Lăng Thoại Ngọc Hầu Núi Sam An Giang site:vietnam.travel OR site:vietnamtourism.gov.vn OR site:*.gov.vn,"Chỉ dùng image_url trực tiếp .jpg/.png/.webp; không dùng trang HTML, ảnh random, placeholder; phải ghi nguồn/credit."
AG_0005,Chùa Hang Châu Đốc,An Giang,An Giang,Núi Sam,"Núi Sam, Châu Đốc, An Giang",spiritual,Tâm linh,Chùa/thiền viện,Điểm chùa/thiền viện tiêu biểu tại Núi Sam.,3.9,7.8,supporting,1,[],https://vietnamtourism.gov.vn/post/34837,Cục Du lịch Quốc gia Việt Nam; Cổng thông tin du lịch An Giang; tổng hợp nguồn công khai,An Giang - Châu Đốc/Núi Sam/Thất Sơn,Chùa Hang Châu Đốc Núi Sam An Giang ảnh chính thức du lịch,Chùa Hang Châu Đốc Núi Sam An Giang Chùa/thiền viện ảnh địa điểm du lịch,Chùa Hang Châu Đốc Núi Sam An Giang Wikimedia Commons,Chùa Hang Châu Đốc Núi Sam An Giang site:vietnam.travel OR site:vietnamtourism.gov.vn OR site:*.gov.vn,"Chỉ dùng image_url trực tiếp .jpg/.png/.webp; không dùng trang HTML, ảnh random, placeholder; phải ghi nguồn/credit."
AG_0012,Thánh đường Mubarak,An Giang,An Giang,Tân Châu,"Châu Giang, Tân Châu, An Giang",spiritual,Tâm linh,Đền/miếu/đình/lăng,Điểm đền/miếu/đình/lăng tiêu biểu tại Tân Châu.,3.9,7.8,supporting,1,[],https://vietnamtourism.gov.vn/post/34837,Cục Du lịch Quốc gia Việt Nam; Cổng thông tin du lịch An Giang; tổng hợp nguồn công khai,An Giang - biên giới/sông nước Châu Đốc,Thánh đường Mubarak Tân Châu An Giang ảnh chính thức du lịch,Thánh đường Mubarak Tân Châu An Giang Đền/miếu/đình/lăng ảnh địa điểm du lịch,Thánh đường Mubarak Tân Châu An Giang Wikimedia Commons,Thánh đường Mubarak Tân Châu An Giang site:vietnam.travel OR site:vietnamtourism.gov.vn OR site:*.gov.vn,"Chỉ dùng image_url trực tiếp .jpg/.png/.webp; không dùng trang HTML, ảnh random, placeholder; phải ghi nguồn/credit."
AG_0013,Thánh đường Jamiul Azhar,An Giang,An Giang,Tân Châu,"Tân Châu, An Giang",spiritual,Tâm linh,Đền/miếu/đình/lăng,Điểm đền/miếu/đình/lăng tiêu biểu tại Tân Châu.,3.9,7.8,supporting,1,[],https://vietnamtourism.gov.vn/post/34837,Cục Du lịch Quốc gia Việt Nam; Cổng thông tin du lịch An Giang; tổng hợp nguồn công khai,An Giang - biên giới/sông nước Châu Đốc,Thánh đường Jamiul Azhar Tân Châu An Giang ảnh chính thức du lịch,Thánh đường Jamiul Azhar Tân Châu An Giang Đền/miếu/đình/lăng ảnh địa điểm du lịch,Thánh đường Jamiul Azhar Tân Châu An Giang Wikimedia Commons,Thánh đường Jamiul Azhar Tân Châu An Giang site:vietnam.travel OR site:vietnamtourism.gov.vn OR site:*.gov.vn,"Chỉ dùng image_url trực tiếp .jpg/.png/.webp; không dùng trang HTML, ảnh random, placeholder; phải ghi nguồn/credit."
